Description,Sexual_harassment
"I was walking alone in the park when a group of men started following me, making lewd comments. I felt scared and unsafe.",1
"While waiting at the bus stop, a man standing suspiciously close brushed up against me. I felt violated.",1
I was walking down a deserted road at night when a stranger started following me. He kept calling out to me and wouldn't leave me alone.,1
"At the market place, a vendor kept staring at me inappropriately and making suggestive remarks about my outfit.",1
A colleague at work keeps cracking jokes about my appearance and making sexual innuendos. It makes me feel uncomfortable.,1
I was on the train when a man sitting next to me started rubbing his leg against mine. I felt disgusted and shocked.,1
"While walking home from work, a group of boys started following me, whistling and catcalling. I ran to escape.",1
"During a meeting, a male client kept interrupting me and making condescending remarks about my abilities.",0
I was at a restaurant with a friend when a man at another table kept staring at us and licking his lips.,1
"A stranger on the bus kept staring at me intensely, making me feel uneasy.",1
I was at a party when a man I barely knew grabbed my waist inappropriately. I pushed him away.,1
"A co-worker keeps sending me unwanted texts with sexual content, despite me asking him to stop.",1
"While walking through a crowded market, someone groped my backside. I couldn't identify the person.",1
I was on the bus when a woman started yelling insults about my clothes.,0
"At a work conference, a male colleague kept asking me intrusive questions about my personal life.",0
I was at the library when a man sitting next to me kept making comments about my book choice.,0
"While walking my dog in the park, a stranger started a friendly conversation but then made a sexual comment.",0
A co-worker borrowed a stapler from my desk and made a suggestive remark about needing something else from me.,0
"I was on the train when a man offered me his seat. I politely declined, but he kept insisting.",0
I was at a coffee shop when a group of teenagers were talking loudly and using offensive language.,0
"At a work event, a colleague complimented my dress in a professional manner.",0
"I was walking alone in Cubbon Park, Bangalore in the evening (around 7:30 PM) on Thursday, March 7th, 2024 when a group of men started following me, making lewd comments. I felt scared and unsafe.",1
"While waiting at a crowded bus stop in Delhi on Tuesday, February 20th, 2024 at 8:15 AM, a man standing suspiciously close brushed up against me. I felt violated.",1
"On a quiet Sunday morning (around 10:00 AM) on February 4th, 2024, I was walking down a deserted road near Hogenakkal Falls, Karnataka when a stranger started following me. He kept calling out to me and wouldn't leave me alone.",1
"At a market place in Jaipur, Rajasthan on Wednesday, March 6th, 2024 around noon, a vendor kept staring at me inappropriately and making suggestive remarks about my outfit.",1
A colleague at my office in Bangalore keeps cracking jokes about my appearance and making sexual innuendos. It makes me feel uncomfortable. This has been happening for the past month.,1
"I was on the metro in Delhi during rush hour (around 5:30 PM) on Monday, February 26th, 2024 when a man sitting next to me started rubbing his leg against mine. I felt disgusted and shocked.",1
"While walking home from work in Bengaluru on Friday, March 8th, 2024 at 9:00 PM, a group of boys started following me, whistling and catcalling. I ran to escape.",1
"During a business meeting in Delhi on Thursday, February 15th, 2024 at 2:00 PM, a male client kept interrupting me and making condescending remarks about my abilities.",0
"I was at a restaurant with a friend in Bangalore on Saturday, March 2nd, 2024 around 8:30 PM when a man at another table kept staring at us and licking his lips.",1
"A stranger on the bus in Mumbai on Wednesday, February 14th, 2024 at 10:00 AM kept staring at me intensely, making me feel uneasy.",1
"I was at a party in Delhi last Friday (March 1st, 2024) when a man I barely knew grabbed my waist inappropriately. I pushed him away.",1
